gene_id	Huh7_NTC TPM
A1BG	17.05
A1BG-AS1	0
A1CF	116.36
A2M	1589.44
A2M-AS1	0.35
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	0.07
A4GNT	0
AA06	0
AAAS	64.16
AACS	15.3
AACSP1	0
AADAC	5.02
AADACL2	0
AADACL2-AS1	2.3
AADACL3	0
AADACL4	0
AADACP1	0.39
AADAT	15.64
AAED1	16.66
AAGAB	47.68
AAK1	5.92
AAMDC	21.71
AAMP	147.93
AANAT	0.17
AAR2	46.51
AARD	0
AARS	240.48
AARS2	19.88
AARSD1	48.31
AASDH	9.53
AASDHPPT	55.26
AASS	23.29
AATF	73.54
AATK	0.37
AATK-AS1	0
ABAT	22.94
ABCA1	31.63
ABCA10	0.74
ABCA11P	20.7
ABCA12	0.01
ABCA13	0.02
ABCA17P	0
ABCA2	12.73
ABCA3	0.11
ABCA4	0.28
ABCA5	3.32
ABCA6	0.78
ABCA7	3.4
ABCA8	0.21
ABCA9	0.28
ABCB1	33.46
ABCB10	35.96
ABCB11	0.94
ABCB4	14.53
ABCB5	0.28
ABCB6	34.95
ABCB7	20.15
ABCB8	12.51
ABCB9	3.53
ABCC1	6.8
ABCC10	8.62
ABCC11	0.28
ABCC12	0
ABCC13	0.02
ABCC2	42.65
ABCC3	6.05
ABCC4	39.52
ABCC5	28.8
ABCC5-AS1	0
ABCC6	42.27
ABCC6P1	20.57
ABCC6P2	11.74
ABCC8	0
ABCC9	24.53
ABCD1	11.67
ABCD2	0.53
ABCD3	162.71
ABCD4	13.45
ABCE1	144.39
ABCF1	90.56
ABCF2	84.21
ABCF3	37.84
ABCG1	0.28
ABCG2	12.22
ABCG4	0.08
ABCG5	0.46
ABCG8	2.22
ABHD1	0.05
ABHD10	59.33
ABHD11	8.56
ABHD12	106.14
ABHD12B	0.49
ABHD13	13.49
ABHD14A	17.53
ABHD14A-ACY1	4.88
ABHD14B	15.76
ABHD15	7.05
ABHD16A	41.34
ABHD16B	0.04
ABHD17A	66
ABHD17B	28.49
ABHD17C	11.32
ABHD2	36.02
ABHD3	73.81
ABHD4	39.37
ABHD5	10.29
ABHD6	15.04
ABHD8	20.07
ABI1	35.93
ABI2	33
ABI3	0.03
ABI3BP	0
ABL1	52.32
ABL2	9.38
ABLIM1	66.94
ABLIM2	1.6
ABLIM3	16.49
ABO	0
ABR	0.07
ABRA	0
ABRACL	83.12
ABT1	36.37
ABTB1	5.2
ABTB2	4.46
AC093375.1	1.89
ACAA1	108.66
ACAA2	107.18
ACACA	63.59
ACACB	3.81
ACAD10	12.97
ACAD11	17.06
ACAD8	16.93
ACAD9	45.46
ACADL	0.17
ACADM	57.39
ACADS	12.25
ACADSB	79.37
ACADVL	119.07
ACAN	0.02
ACAP1	0.08
ACAP2	20.56
ACAP3	51.13
ACAT1	62.68
ACAT2	578.15
ACBD3	64.81
ACBD4	5.3
ACBD5	32.82
ACBD6	26.75
ACBD7	3.49
ACCS	0.77
ACCSL	0
ACD	25.99
ACE	0.06
ACE2	0.42
ACER1	0
ACER2	1.29
ACER3	13.53
ACHE	2.43
ACIN1	176.2
ACKR1	0
ACKR2	0.45
ACKR3	3.37
ACKR4	0.09
ACLY	384.6
ACMSD	4.46
ACN9	21.5
ACO1	56.93
ACO2	62.38
ACOT1	6.79
ACOT11	4.13
ACOT12	1.8
ACOT13	22.21
ACOT2	32.47
ACOT4	2.95
ACOT6	0
ACOT7	93.48
ACOT8	29.85
ACOT9	24.77
ACOX1	36.76
ACOX2	23.54
ACOX3	12.28
ACOXL	0
ACP1	135.72
ACP2	34.53
ACP5	4.91
ACP6	15.16
ACPP	0.12
ACPT	0
ACR	0.1
ACRBP	0.22
ACRC	0.79
ACRV1	0
ACSBG1	0.05
ACSBG2	0
ACSF2	31.47
ACSF3	7.57
ACSL1	53.7
ACSL3	237.22
ACSL4	447.76
ACSL5	2.45
ACSL6	0.44
ACSM1	0.51
ACSM2A	2.23
ACSM2B	8.83
ACSM3	6.83
ACSM4	0
ACSM5	0.09
ACSS1	0.19
ACSS2	61.31
ACSS3	54.03
ACTA1	0.05
ACTA2	0
ACTB	4679.66
ACTBL2	0.02
ACTC1	0
ACTG1	2983.62
ACTG1P4	0
ACTG2	0
ACTL10	0.9
ACTL6A	115.95
ACTL6B	0.05
ACTL7A	0
ACTL7B	0.1
ACTL8	0
ACTL9	0
ACTN1	128.08
ACTN1-AS1	0
ACTN2	0
ACTN3	2.06
ACTN4	421.9
ACTR10	39.35
ACTR1A	107.69
ACTR1B	71.52
ACTR2	212.97
ACTR3	120.68
ACTR3B	22.91
ACTR3BP2	0
