gene_id	PLC_NTC TPM
A1BG	6.45
A1BG-AS1	3.21
A1CF	30.41
A2M	1267.99
A2M-AS1	0.65
A2ML1	0
A2MP1	0
A3GALT2	0
A4GALT	8.27
A4GNT	0
AA06	0
AAAS	87.52
AACS	32.68
AACSP1	0.03
AADAC	2.28
AADACL2	0
AADACL2-AS1	2.22
AADACL3	0
AADACL4	0
AADACP1	0.05
AADAT	14.28
AAED1	19.64
AAGAB	61.73
AAK1	7.12
AAMDC	14.58
AAMP	152.73
AANAT	0
AAR2	54.08
AARD	0
AARS	269.24
AARS2	17.02
AARSD1	34.27
AASDH	8.6
AASDHPPT	74.08
AASS	4.08
AATF	63.7
AATK	0.73
AATK-AS1	0
ABAT	5.57
ABCA1	23.26
ABCA10	0.15
ABCA11P	4.65
ABCA12	0
ABCA13	0.09
ABCA17P	0.04
ABCA2	34.44
ABCA3	9.98
ABCA4	0.12
ABCA5	4.04
ABCA6	0.19
ABCA7	6.11
ABCA8	1.17
ABCA9	0.07
ABCB1	6.13
ABCB10	41
ABCB11	0
ABCB4	0.09
ABCB5	0.12
ABCB6	1.15
ABCB7	37.32
ABCB8	17.5
ABCB9	5.38
ABCC1	39.2
ABCC10	11.11
ABCC11	0.23
ABCC12	0.01
ABCC13	0.08
ABCC2	178.47
ABCC3	0.47
ABCC4	60.62
ABCC5	36.36
ABCC5-AS1	0
ABCC6	37.09
ABCC6P1	6.68
ABCC6P2	15.23
ABCC8	0.02
ABCC9	10.54
ABCD1	7.09
ABCD2	0.03
ABCD3	196.66
ABCD4	9.32
ABCE1	149.8
ABCF1	149.6
ABCF2	97.57
ABCF3	76.76
ABCG1	2.38
ABCG2	33.34
ABCG4	1.01
ABCG5	0
ABCG8	0
ABHD1	0.04
ABHD10	27.07
ABHD11	23.23
ABHD12	67.31
ABHD12B	0.04
ABHD13	15.83
ABHD14A	17.58
ABHD14A-ACY1	4.85
ABHD14B	46
ABHD15	14.66
ABHD16A	35.54
ABHD16B	0.24
ABHD17A	63.58
ABHD17B	16.64
ABHD17C	44.67
ABHD2	70.18
ABHD3	42.72
ABHD4	12.44
ABHD5	10.4
ABHD6	15.8
ABHD8	17.68
ABI1	39.85
ABI2	23.25
ABI3	0
ABI3BP	0
ABL1	33.22
ABL2	16.32
ABLIM1	85.77
ABLIM2	1.38
ABLIM3	14.15
ABO	0.04
ABR	33.37
ABRA	0
ABRACL	81.44
ABT1	53.8
ABTB1	8.14
ABTB2	5.33
AC093375.1	1.24
ACAA1	34.2
ACAA2	79.31
ACACA	36.94
ACACB	7.57
ACAD10	7.65
ACAD11	16.94
ACAD8	28.31
ACAD9	37.72
ACADL	0.59
ACADM	179.94
ACADS	9.98
ACADSB	33.17
ACADVL	213.71
ACAN	0
ACAP1	0.22
ACAP2	17.2
ACAP3	17.76
ACAT1	187.37
ACAT2	198.83
ACBD3	48.68
ACBD4	20.6
ACBD5	93.23
ACBD6	66.16
ACBD7	1.61
ACCS	0
ACCSL	0
ACD	29.14
ACE	0.13
ACE2	0.07
ACER1	0
ACER2	2.29
ACER3	21.3
ACHE	1.27
ACIN1	94.75
ACKR1	0
ACKR2	0.29
ACKR3	0
ACKR4	0.03
ACLY	236.7
ACMSD	2.26
ACN9	19.35
ACO1	108.63
ACO2	116.41
ACOT1	38.53
ACOT11	11.56
ACOT12	16.84
ACOT13	23.15
ACOT2	49.82
ACOT4	0
ACOT6	0
ACOT7	80.2
ACOT8	16.88
ACOT9	119.9
ACOX1	60.97
ACOX2	20.8
ACOX3	18.53
ACOXL	0
ACP1	206.14
ACP2	63.23
ACP5	0.13
ACP6	11.87
ACPP	0
ACPT	0
ACR	0.05
ACRBP	0
ACRC	0.23
ACRV1	0
ACSBG1	0.1
ACSBG2	0
ACSF2	17.84
ACSF3	11.69
ACSL1	12.87
ACSL3	102.3
ACSL4	378.45
ACSL5	13.15
ACSL6	0.73
ACSM1	0
ACSM2A	0
ACSM2B	0.03
ACSM3	0.2
ACSM4	0
ACSM5	0
ACSS1	3.74
ACSS2	30.82
ACSS3	62.79
ACTA1	0.08
ACTA2	0
ACTB	4971.53
ACTBL2	0
ACTC1	0.02
ACTG1	3400.85
ACTG1P4	0.03
ACTG2	0
ACTL10	0
ACTL6A	44.83
ACTL6B	0.04
ACTL7A	0
ACTL7B	0
ACTL8	1.3
ACTL9	0
ACTN1	106.58
ACTN1-AS1	0.11
ACTN2	0.01
ACTN3	0.04
ACTN4	260.65
ACTR10	36.36
ACTR1A	132
ACTR1B	55.69
ACTR2	264.43
ACTR3	87.53
ACTR3B	13.35
ACTR3BP2	0
ACTR3BP5	0
ACTR3C	3.91
ACTR5	20.63
ACTR6	28.92
ACTR8	23.64
ACTRT1	0
ACTRT2	0
ACTRT3	5.14
ACVR1	26.04
ACVR1B	21.39
ACVR1C	0.43
ACVR2A	3.45
ACVR2B	5.35
ACVR2B-AS1	0.49
ACVRL1	0.07
ACY1	47.72
ACY3	0
ACYP1	26.63
ACYP2	3.19
ADA	46.25
ADAD1	0
ADAD2	0.09
ADAL	8.31
ADAM10	90.49
ADAM11	2.47
ADAM12	0.48
ADAM15	70.4
ADAM17	35.37
ADAM18	0.04
ADAM19	8.95
ADAM1A	2.15
ADAM2	0
ADAM20	0.02
ADAM20P1	0.16
ADAM21	0.09
ADAM21P1	0
ADAM22	7.23
ADAM23	4.41
ADAM28	0
ADAM29	0
ADAM30	0
ADAM32	0.04
ADAM33	0.07
ADAM3A	0
ADAM5	0
ADAM6	0
ADAM7	0
ADAM8	0.3
ADAM9	170.29
ADAMDEC1	0
ADAMTS1	0.07
ADAMTS10	0.01
ADAMTS12	0
ADAMTS13	0.62
ADAMTS14	0
ADAMTS15	0.13
ADAMTS16	0
ADAMTS17	0.03
ADAMTS18	0
ADAMTS19	0
ADAMTS2	0.09
ADAMTS20	0.05
ADAMTS3	0.09
ADAMTS4	0.46
ADAMTS5	0
ADAMTS6	1.02
ADAMTS7	0.53
ADAMTS7P1	0
ADAMTS8	0
ADAMTS9	0.12
ADAMTS9-AS2	0
ADAMTSL1	0.01
ADAMTSL2	0.12
ADAMTSL3	0.08
ADAMTSL4	21.73
ADAMTSL4-AS1	0.12
ADAMTSL5	15.49
ADAP1	7.5
ADAP2	7.92
ADAR	184.53
ADARB1	4.43
ADARB2	0
ADARB2-AS1	0
ADAT1	11.71
ADAT2	5.3
ADAT3	12.9
ADC	0.39
ADCK1	6.37
ADCK2	33.66
ADCK3	34.34
ADCK4	27.68
ADCK5	5.46
ADCY1	2.95
ADCY10	3.3
ADCY10P1	0.13
ADCY2	0
ADCY3	36.46
ADCY4	0
ADCY5	0.09
ADCY6	31.91
ADCY7	0.48
ADCY8	0
ADCY9	9.93
ADCYAP1	0
ADCYAP1R1	0.03
ADD1	114.25
ADD2	0.05
ADD3	40.82
ADD3-AS1	0.15
ADGB	0.02
ADH1A	0.33
ADH1B	0.03
ADH1C	5.81
ADH4	11.66
ADH5	190
ADH6	24.94
ADH7	0
ADHFE1	2.48
ADI1	122.54
ADIG	0
ADIPOQ	0.02
ADIPOQ-AS1	0
ADIPOR1	162.22
ADIPOR2	100.99
ADIRF	0
ADK	53.7
ADM	17.17
ADM2	13.43
ADM5	5.48
ADNP	58.96
ADNP2	26.21
ADO	27.04
ADORA1	0.18
ADORA2A	0
ADORA2A-AS1	0
ADORA2B	7.67
ADORA3	0
ADPGK	47.92
ADPGK-AS1	0
ADPRH	0.17
ADPRHL1	5.43
ADPRHL2	35.89
ADPRM	3.53
ADRA1A	0.14
ADRA1B	0
ADRA1D	0.09
ADRA2A	0.08
ADRA2B	0.15
ADRA2C	43.17
ADRB1	0.7
ADRB2	0
ADRB3	0
ADRBK1	55.48
ADRBK2	3.18
ADRM1	203.06
ADSL	174.9
ADSS	44.59
ADSSL1	3.17
ADTRP	0
AEBP1	0.07
AEBP2	16.27
AEN	40.6
AES	312.53
AFAP1	6.52
AFAP1-AS1	0.02
AFAP1L1	1.31
AFAP1L2	0.03
AFF1	18.75
AFF2	0
AFF3	0.06
AFF4	47.11
AFG3L1P	10.12
AFG3L2	149.89
AFM	0.15
AFMID	39.26
AFP	17.23
AFTPH	32.6
AGA	16.15
AGAP1	9.88
AGAP11	0.13
AGAP2	0.94
AGAP2-AS1	12.56
AGAP3	36.8
AGAP4	3.54
AGAP5	3.62
AGAP6	7.66
AGAP7	0.84
AGAP9	8.41
AGBL1	0
AGBL1-AS1	0
AGBL2	0.32
AGBL3	0.12
AGBL4	0.06
AGBL4-IT1	0
AGBL5	54.22
AGBL5-AS1	0
AGER	1.71
AGFG1	32.63
AGFG2	24.84
AGGF1	23.1
AGK	26.3
AGL	32.17
AGMAT	67.75
AGMO	23.64
AGO1	40.5
AGO2	34.69
AGO3	8.03
AGO4	7.2
AGPAT1	154.06
AGPAT2	79.5
AGPAT3	44.43
AGPAT4	0.46
AGPAT4-IT1	0.1
AGPAT5	18.33
AGPAT6	42.16
AGPAT9	38.82
AGPS	74.26
AGR2	620.48
AGR3	0
AGRN	93.76
AGRP	0.08
AGT	618.5
AGTPBP1	14.03
AGTR1	46.88
AGTR2	0
AGTRAP	70.61
AGXT	0.08
AGXT2	0.05
AHCTF1	57.51
AHCTF1P1	0.34
AHCY	461.06
AHCYL1	119.97
AHCYL2	14
AHDC1	2.86
AHI1	14.79
AHNAK	34.87
AHNAK2	0.35
AHR	130.99
AHRR	0.79
AHSA1	202.03
AHSA2	17.95
AHSG	35.72
AHSP	0
AICDA	0.11
AIDA	118.31
AIF1	0
AIF1L	5.94
AIFM1	123.11
AIFM2	32.9
AIFM3	0
AIG1	47.49
AIM1	4.57
AIM1L	6.4
AIM2	0
AIMP1	52.31
AIMP2	90.3
AIP	71.04
AIPL1	0.52
AIRE	0
AIRN	0
AJAP1	4.53
AJUBA	58.6
AK1	15.84
AK2	98.08
AK3	28.59
AK4	65.12
AK5	0
AK6	77.82
AK7	1.24
AK8	0.03
AK9	1.28
AKAP1	79.21
