,PLC,Huh7,name,Fold_change
10FTHF5GLUtl,,,"5-Glutamyl-10Fthf Transport, Lysosomal",
10FTHF5GLUtm,,,"5-Glutamyl-10Fthf Transport, Mitochondrial",
10FTHF6GLUtl,,,"6-Glutamyl-10Fthf Transport, Lysosomal",
10FTHF6GLUtm,,,"6-Glutamyl-10Fthf Transport, Mitochondrial",
10FTHF7GLUtl,,,"7-Glutamyl-10Fthf Transport, Lysosomal",
10FTHF7GLUtm,,,"7-Glutamyl-10Fthf Transport, Mitochondrial",
10FTHFtl,,,10-Formyltetrahydrofolate Lysosomal Transport via Diffusion,
10FTHFtm,,,10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion,
11DOCRTSLtm,,,11-Deoxycortisol Intracellular Transport,
11DOCRTSLtr,,,11-Deoxycortisol Intracellular Transport,
11DOCRTSTRNtm,,,11-Deoxycorticosterone Intracellular Transport,
11DOCRTSTRNtr,,,11-Deoxycorticosterone Intracellular Transport,
13DAMPPOX,4.85,6.72,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",0.7217261904761905
1a_24_25VITD2Hm,,,"1-Alpha-Vitamin D-24, 25-Hydroxylase (D2)",
1a_25VITD2Hm,,,"1-Alpha, 24R, 25-Vitamin D-Hydroxylase (D2)",
1MNCAMti,,,N1-Methylnicotinamide Transport,
1PPDCRp,,,"Delta1-Piperideine-2-Carboxylate Reductase, Perixosomal",
24_25DHVITD2t,,,"24, 25-Dihydroxyvitamin D2 Transport from Cytoplasm",
24_25DHVITD2tm,,,"24, 25-Dihydroxyvitamin D2 Transport from Mitochondria",
24_25DHVITD3t,,,"24, 25-Dihydroxyvitamin D3 Transport from Cytoplasm",
24_25DHVITD3tm,,,"24, 25-Dihydroxyvitamin D3 Transport from Mitochondria",
24_25VITD2Hm,72.29,0.26,24R-Vitamin D-25-Hydroxylase (D2),278.03846153846155
24_25VITD3Hm,72.29,0.26,24R-Vitamin D-25-Hydroxylase (D3),278.03846153846155
24NPHte,,,Transport of Xenobiotic,
25HVITD2t,,,25-Hydroxyvitamin D2 Transport from Cytoplasm,
25HVITD2tin_m,,,25-Hydroxyvitamin D2 Transport in Mitochondria,
25HVITD3t,,,25-Hydroxyvitamin D3 Transport from Cytoplasm,
25HVITD3tin_m,,,25-Hydroxyvitamin D3 Transport in Mitochondria,
25VITD2Hm,3.16,1.12,1-Alpha-Vitamin D-25-Hydroxylase (D2),2.821428571428571
25VITD3Hm,3.16,1.12,1-Alpha-Vitamin D-25-Hydroxylase (D3),2.821428571428571
2AMACHYD,1.55,0.58289,2-Aminoacrylate Hydrolysis,2.6591638216473092
2AMACSULT,0.66,8.67,2-Aminoacrylate Sulfotransferase,0.07612456747404844
2AMADPTm,0.56,0.28,L-2-Aminoadipate Shuttle (Cytosol/Mitochondria),2.0
2DR1PP,,,2-Deoxy-D-Ribose 1-Phosphate Phosphorylase,
2HBO,1286.0404,978.7739,2-Hydroxybutyrate:NAD+ Oxidoreductase,1.3139300097806041
2HBt2,70.08,411.5,2-Hydroxybutyrate Symport with Proton,0.1703037667071689
2HCO3_NAt,15.14,6.49,Bicarbonate Transport (Na/Hco3 1:2 Symport),2.332819722650231
2MCITt,,,2-Methylcitrate Transport via Diffusion,
2OXOADOXm,124.36,88.42,"2-Oxoadipate:Lipoamde 2-Oxidoreductase (Decarboxylating And Acceptor-Succinylating), Mitochondrial",1.4064691246324361
2OXOADPTm,0.56,0.28,2-Oxoadipate Shuttle (Cytosol/Mitochondria),2.0
34DHOXPEGOX,229.9137,157.836,"3, 4-Dihydroxyphenylethyleneglycol:NAD+ Oxidoreductase",1.4566619782559111
34DHOXPEGt,,,"3, 4-Dihydroxyphenylethyleneglycol Transport (Diffusion)",
34DHPHAMT,119.08,56.3,"3, 4-Dihydroxyphenylacetate:Amet O-Methyltransferase",2.1150976909413854
34DHPHEt,8.65,12.11,"3, 4-Dihydroxy-L-Phenylalanine Transport",0.7142857142857143
34DHPLACOX,3.75,10.5571,"3, 4-Dihydroxyphenylacetaldehyde:NAD+ Oxidoreductase",0.3552111848897898
34DHPLACOX_NADP_,3.44,9.0071,"3, 4-Dihydroxyphenylacetaldehyde:NADP+ Oxidoreductase",0.38192092904486463
34DHXMANDACOX,3.47,10.21,"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase",0.33986287952987265
34DHXMANDACOX_NADP_,3.34,8.7271,"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase",0.3827159079190109
34HPLFM,,,3- (4-Hydroxyphenyl-)Lactate Formation,
34HPPOR,7.76,2.41,4-Hydroxyphenylpyruvate:Oxygen Oxidoreductase,3.2199170124481324
35CGMPtn,,,35CGMP Nuclear Transport,
3AIBTm,11.14,45.88,"L-3-Aminoisobutyrate Transaminase, Mitochondrial",0.24280732345248474
3AIBtmi,11.14,45.88,"3-Amino-Isobutyrate Transport, Mitochondrial",0.24280732345248474
3DPHBH1,,,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADH),
3DPHBH2,,,Hydroxylation of 3-Decaprenyl-4-Hydroxybenzoate (NADPH),
3DSPHR,18.18,7.15,3-Dehydrosphinganine Reductase,2.5426573426573427
3HAO,0.6385,13.96,"3-Hydroxyanthranilate 3, 4-Dioxygenase",0.0457378223495702
3HBCDm,10.11,12.57,"3-Hydroxybutyryl Coenzyme A Dehydratase, Mitochondrial",0.8042959427207637
3HBCOAHLm,,,"3-Hydroxyisobutyryl Coenzyme A Hydrolase, Mitochondrial",
3HKYNAKGAT,38.86,44.63,3-Hydroxy-L-Kynurenine:2-Oxoglutarate Aminotransferase,0.8707147658525655
3HLYTCL,20.31,92.29,3-Hydroxy-L-Tyrosine Carboxy-Lyase,0.22006717954274566
3M4HDXPAC,3.75,10.5571,3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase,0.3552111848897898
3MLDAt,,,3Mlda Extracellular Transport via Diffusion,
3MOBt2im,,,3-Methyl-2-Oxobutanoate Mitochondrial Transport via Proton Symport,
3MOPt2im,,,3-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,
3MOX4HOXPGALDOX,3.75,10.5571,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase,0.3552111848897898
3MOX4HOXPGALDOX_NADP_,3.75,10.5571,3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase,0.3552111848897898
3MOXTYROX,23.15,96.66,3-Methoxytyramine:Oxygen Oxidoreductase (Deaminating),0.23949927581212496
3SALAASPm,116.0,99.02,Cysteinesulfinate-Aspartate Mitochondrial Shuttle,1.1714805089880833
3SALACBOXL,32.9144,4.3476,3-Sulfino-L-Alanine Carboxy-Lyase,7.570705676695188
3SALAOX,,,Cysteinesulfinic Acid Oxidase,
3SALATAi,227.02,141.06,3-Sulfino-Alanine Transaminase (Irreversible),1.6093860768467319
3SALATAim,193.59,213.65,"3-Sulfino-Alanine Transaminase (Irreversible), Mitochondrial",0.9061081207582494
3SPYRSP,,,3-Sulfinopyruvate Hydrolase (Spotaneous Reaction),
3SPYRSPm,,,"3-Sulfinopyruvate Hydrolase (Spotaneous Reaction), Mitochondrial",
41R1H2MAE12BOOX,23.15,96.66,"4-[ (1R)-1-Hydroxy-2- (Methylamino)Ethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0.23949927581212496
41R2A1H12BOOX,23.15,96.66,"4-[ (1R)-2-Amino-1-Hydroxyethyl]-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0.23949927581212496
42A12BOOX,28.0,103.38,"4- (2-Aminoethyl)-1, 2-Benzenediol:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing)",0.2708454246469337
4ABUTtm,,,4-Aminobutanoate Mitochondrial Transport via Diffusion,
4HBZCOAFm,,,4-Hydroxybenzoyl Coenzyme A Formation,
4HBZFm,,,4-Hydroxybenzoate Formation,
4HDEBRISOQUINEte,,,Transport of Xenobiotic,
4HGLSDm,51.56,105.78,"L-4-Hydroxyglutamate Semialdehyde Dehydrogenase, Mitochondrial",0.4874267347324636
4HOXPACDOX_NADP_,3.75,10.5571,4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase,0.3552111848897898
4MOPt2im,,,4-Methyl-2-Oxopentanoate Mitochondrial Transport via Proton Symport,
4MPTNLte,,,4-Methylpentanal Transport,
4MPTNLtm,,,"4-Methylpentanal Transport, Mitochondrial",
4MTOLBUTAMIDEte,,,Transport of Xenobiotic,
4NPHSFte,,,Transport of Xenobiotic,
4NPHSULT,184.22,132.66,4-Nitrophenol Sulfotransferase,1.388662746871702
4NPHte,,,Transport of Xenobiotic,
4PYRDX,,,4-Pyridoxal Secretion,
5ADTSTSTERONEGLCte,39.2,6.8,Glucuronidated Compound Transport,5.764705882352942
5ADTSTSTERONEGLCtr,,,Glucuronidated Compound Transport,
5ADTSTSTERONESte,,,Sulfonated Testosterone Transport,
5ADTSTSTERONESULT,0.79,57.07,5Alpha-Dihydrotestosterone Sulfotransferase,0.013842649377956895
5ADTSTSTERONEte,,,5 Alpha Dihydrotesterone Transport,
5ADTSTSTERONEtr,,,5 Alpha Dihydrotesterone Intracellular Transport,
5AOPtm,,,5-Aminolevulinate Mitochondrial Transport,
5DHFtl,,,"5-Glutamyl-Dhf Transport, Lysosomal",
5FTHFt2,113.98,82.92,5-Formyltetrahydrofolate Transport via Anion Exchange,1.3745779064158226
5HLTDL,20.31,92.29,5-Hydroxy-L-Tryptophan Decarboxy-Lyase,0.22006717954274566
5HOMEPRAZOLEte,,,Transport of Xenobiotic,
5HOXINDACTO2OX,0.27,8.31,5-Hydroxyindoleacetaldehyde:Oxygen Oxidoreductase,0.032490974729241874
5HOXINOXDA,23.15,96.66,5-Hydroxytryptamine:Oxygen Oxidoreductase (Deaminating) (Flavin-Containing),0.23949927581212496
5HTRPVESSEC,0.35516,0.49103,5-Hydroxy-L-Tryptophan Secretion via Secretory Vesicle (ATP Driven),0.7232959289656435
5MTHFt,1.6429,2.6697,5-Methyltetrahydrofolate Transport via Receptor Binding And Protolysis,0.6153874967224782
5MTHFt2,113.98,82.92,5-Methyltetrahydrofolate Transport via Anion Exchange,1.3745779064158226
5THFtl,,,"5-Glutamyl-Thf Transport, Lysosomal",
5THFtm,,,"5-Glutamyl-Thf Transport, M Mitochondrial",
6DHFtl,,,"6-Glutamyl-Dhf Transport, Lysosomal",
6DHFtm,,,"6-Glutamyl-Dhf Transport, M Mitochondrial",
6HTSTSTERONEte,,,Hydroxylated Testosterone Transport,
6HTSTSTERONEtr,,,Hydroxylated Testosterone Transport,
6THFtl,,,"6-Glutamyl-Thf Transport, Lysosomal",
6THFtm,,,"6-Glutamyl-Thf Transport, M Mitochondrial",
7DHCHSTEROLtr,,,Cholesterol Precursor Intracellular Transport,
7DHFtl,,,"7-Glutamyl-Dhf Transport, Lysosomal",
