gene	Symbol	Alias	Name	Huh7	PLC	Fold_change
8639.1	AOC3	['HPAO', 'SSAO', 'VAP-1', 'VAP1']	amine oxidase copper containing 3	1.35	0.66	0.4888888888888889
314.2	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	2.64	2.02	0.7651515151515151
26.1	AOC1	['ABP', 'ABP1', 'DAO', 'DAO1', 'KAO']	amine oxidase copper containing 1	0.09	0.15	1.6666666666666667
314.1	AOC2	['DAO2', 'RAO', 'SSAO']	amine oxidase copper containing 2	2.64	2.02	0.7651515151515151
1591.1	CYP24A1	['CP24', 'CYP24', 'HCAI', 'HCINF1', 'P450-CC24']	cytochrome P450 family 24 subfamily A member 1	0.26	72.29	278.03846153846155
1594.1	CYP27B1	['CP2B', 'CYP1', 'CYP1alpha', 'CYP27B', 'P450c1', 'PDDR', 'VDD1', 'VDDR', 'VDDRI', 'VDR']	cytochrome P450 family 27 subfamily B member 1	1.12	3.16	2.821428571428571
10993.1	SDS	SDH	serine dehydratase	0.5828933833012184	1.55	2.6591483870027317
6818.1	SULT1A3	['HAST', 'HAST3', 'M-PST', 'ST1A3', 'ST1A3/ST1A4', 'ST1A4', 'ST1A5', 'STM', 'TL-PST']	sulfotransferase family 1A member 3	8.67	0.66	0.07612456747404844
89874.1	SLC25A21	['ODC', 'ODC1']	solute carrier family 25 member 21	0.28	0.56	2.0
55293.1	UEVLD	['ATTP', 'UEV3']	UEV and lactate/malate dehyrogenase domains	15.51	29.18	1.8813668600902644
3948.2	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	0.17	0.05	0.29411764705882354
160287.1	LDHAL6A	LDH6A	lactate dehydrogenase A like 6A	0.16344474957896496	0.10073519715152314	0.6163256844347577
3948.1	LDHC	['CT32', 'LDH3', 'LDHX']	lactate dehydrogenase C	0.17	0.05	0.29411764705882354
3939.1	LDHA	['GSD11', 'HEL-S-133P', 'LDHM', 'PIG19']	lactate dehydrogenase A	960.51	1256.02	1.3076594725718629
92483.1	LDHAL6B	['LDH6B', 'LDHAL6', 'LDHL']	lactate dehydrogenase A like 6B	0.13046837305982495	0.1096254780429909	0.8402456125725064
3945.1	LDHB	['HEL-S-281', 'LDH-B', 'LDH-H', 'LDHBD', 'TRG-5']	lactate dehydrogenase B	1.95	0.48	0.24615384615384614
9194.1	SLC16A7	MCT2	solute carrier family 16 member 7	36.68	0.18	0.004907306434023991
9123.1	SLC16A3	['MCT 3', 'MCT 4', 'MCT-3', 'MCT-4', 'MCT3', 'MCT4']	solute carrier family 16 member 3	244.38	0.86	0.003519109583435633
6566.1	SLC16A1	['HHF7', 'MCT', 'MCT1', 'MCT1D']	solute carrier family 16 member 1	130.44	69.04	0.5292854952468569
57835.4	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	0.38	0.15	0.39473684210526316
57835.3	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	0.38	0.15	0.39473684210526316
8671.1	SLC4A4	['HNBC1', 'KNBC', 'NBC1', 'NBC2', 'NBCe1-A', 'SLC4A5', 'hhNMC', 'kNBC1', 'pNBC']	solute carrier family 4 member 4	4.97	14.54	2.925553319919517
57835.2	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	0.38	0.15	0.39473684210526316
57835.1	SLC4A5	['NBC4', 'NBCe2']	solute carrier family 4 member 5	0.38	0.15	0.39473684210526316
4967.1	OGDH	['AKGDH', 'E1k', 'OGDC']	oxoglutarate dehydrogenase	44.25	62.18	1.4051977401129943
8050.1	PDHX	['DLDBP', 'E3BP', 'OPDX', 'PDHXD', 'PDX1', 'proX']	pyruvate dehydrogenase complex component X	44.21	76.63	1.7333182537887355
