GENE	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C11_419730	Liver_Cancer.Cell.Line_Low_HuH-7_Hepatocellular.Carcinoma: GSM253206	Liver_Cancer.Cell.Line_Low_PLC-PRF-5_Hepatocellular.Carcinoma: MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A04_454756
AKT3	23.50	26.70	23.32
MED6	476.19	345.35	288.05
NR2E3	22.23	27.32	22.58
NAALAD2	137.53	52.04	13.46
CDKN2B-AS1	34.29	33.10	28.35
LOC100049716	73.02	105.88	42.43
NAALADL1	41.88	36.60	46.05
ACOT8	268.88	356.21	196.54
ABI1	362.79	395.71	378.12
GNPDA1	530.57	471.01	616.77
KCNE3	68.22	53.18	33.32
SNHG8	798.58	1168.38	591.16
ZBTB33	251.86	293.23	231.49
CDH2	424.88	340.45	467.20
ZSCAN30	132.72	244.04	72.48
TANK	482.17	513.07	265.86
C19orf64	67.25	76.26	98.24
TMEM170B	49.68	126.20	68.82
SRA1	440.53	457.36	363.80
HOTAIR	9.21	11.57	10.37
ZGLP1	77.54	107.25	137.23
LOC100126784	22.16	19.67	28.60
LOC100127886	13.16	14.15	10.99
LOC100127891	35.80	39.99	41.74
LOC100127971	25.93	31.95	27.22
LOC100127972	22.07	32.93	36.54
LOC100127980	20.40	17.59	19.35
C8orf88	181.92	123.49	145.24
LOC100128003	44.10	62.43	61.42
LOC100128008	39.25	27.66	42.58
WWTR1-AS1	22.37	22.94	20.53
SLC2A3P1	1504.74	1714.30	448.36
FAM229A	53.28	86.14	54.33
LOC100128074	41.45	31.79	36.45
LOC100128090	30.29	32.55	34.28
LOC100128093	31.77	36.45	33.38
ST8SIA6-AS1	291.37	267.65	282.77
STAU2-AS1	48.30	71.85	61.02
LINC01233	11.23	12.26	12.14
LOC100128175	16.16	25.84	20.30
LOC100128178	16.83	17.26	17.58
LOC100128180	14.92	11.87	11.57
TMPO-AS1	44.20	57.20	138.75
LOC100128193	70.62	69.35	61.52
LOC100128198	57.71	77.36	44.13
GAFA3	13.50	13.46	9.89
LOC100128259	41.26	46.61	60.23
LOC100128288	77.51	35.92	24.61
LOC100128309	46.75	68.49	50.78
LOC100128325	41.28	25.78	61.82
LOC100128334	98.02	114.68	118.04
LOC100128361	78.24	94.17	65.71
LOC100128370	15.78	25.60	14.53
LOC100128392	20.77	28.42	26.21
LOC100128403	63.11	86.10	66.18
LOC100128414	46.47	29.17	35.21
LOC100128434	21.03	20.26	23.60
LOC100128443	90.88	60.91	64.45
LOC100128490	58.50	54.61	31.45
C20orf78	30.83	74.59	65.02
LOC100128500	99.45	86.12	123.61
LOC100128510	171.68	164.37	155.60
NEBL-AS1	20.34	17.50	21.42
LOC100128550	133.22	131.40	78.80
LOC100128570	19.76	21.97	19.01
LOC100128576	207.97	281.60	194.69
SLC8A1-AS1	17.02	18.26	20.35
LOC100128641	17.31	20.84	18.83
LOC100128661	61.49	69.06	41.07
LOC100128663	61.14	40.86	51.02
OST4	2075.01	1750.68	2153.40
LOC100128737	96.83	103.91	140.32
LOC100128751	51.14	43.46	44.67
LINC00476	46.18	28.75	30.88
LOC100128821	26.25	16.68	17.61
LINC01003	105.57	185.10	176.06
LINC01165	19.50	15.58	37.37
LOC100128843	54.30	50.27	57.33
VPS9D1-AS1	91.92	108.03	142.80
LOC100128907	340.45	286.54	49.61
LOC100128909	34.67	41.52	49.12
LOC100128918	27.97	23.29	24.60
LOC100128919	106.30	114.82	212.56
LOC100128922	14.26	14.17	14.68
ZBTB42	49.93	54.56	87.29
MAPT-AS1	19.75	20.97	19.47
